,Sex,Age,Race,OtherRace,HispanicLatino,HighestEducation,HeightFeet,HeightInches,WeightPounds,RelationshipStatus,DivorceCount,LongestRelationshipYears,LongestRelationshipMonths,RelationshipNumber,ChildrenNumber,HouseholdIncome,RetirementAccount,RetirementPercentStocks,RentOwn,MortgageDebt,CarDebt,EducationDebt,CreditCardDebt,OtherDebtSources,CoffeeCupsPerDay,TeaCupsPerDay,CaffienatedSodaCansPerDay,CaffieneOtherSourcesDayMG,GamblingProblem,TrafficTicketsLastYearCount,TrafficAccidentsLifeCount,ArrestedChargedLifeCount,MotivationForParticipation,MotivationOther,country,state,other_state,crisis_currentlyworking,crisis_occupation,crisis_military,crisis_urbanicity,crisis_householdpeople,crisis_householdrelation,crisis_esssentialworkers,crisis_workersforcovid,crisis_householdrooms,crisis_healthinsurance,crisis_moneysupport,crisis_physicalhealth,crisis_mentalhealth,crisis_workershome,OtherDebtAmount
s001,0,36,White,,0,3,6,0,290,2,0,9,4,3,0,79000,1.0,4,0,1.0,1.0,1.0,1.0,,1,3,0,0,0,0,1,0,money,,USA,35,,1,IT Support Specialist,0,3,3,Partner/Spouse,0,0,7,2,0,3,5,,
s002,1,52,White,,0,3,5,4,175,2,0,33,0,3,1,48000,1.0,10,1,1.0,3.0,1.0,1.0,,0,3,0,0,1,0,2,0,money,,USA,4,,6,ISP tech support (laid off),0,3,2,Partner/Spouse,1,0,6,2,0,3,5,3,
s003,1,45,White,,0,3,5,5,250,1,0,0,6,6,0,27000,0.0,,1,1.0,1.0,1.0,1.0,,0,3,0,65,0,0,3,0,money,,United States,37,,7,n/a,0,3,0, I live alone,0,,5,4,0,1,1,,
s004,1,31,Black or African American,,0,4,5,6,157,3,0,9,3,3,2,64000,1.0,1,1,2.0,1.0,4.0,3.0,,0,1,1,0,0,0,2,0,tasks are fun,,United States,33,,1,Social Worker,0,1,3,Partner/Spouse,0,0,4,2,0,3,4,,
s005,0,31,White,,0,3,5,6,155,1,0,3,2,4,0,43000,0.0,,1,1.0,1.0,5.0,1.0,,4,3,3,150,0,0,2,5,money,,USA,32,,1,data analysis,0,1,1, I live alone,0,,5,5,0,4,5,,
s007,0,32,White,,0,4,5,5,180,1,0,0,0,0,0,50000,1.0,3,0,1.0,1.0,1.0,2.0,,0,0,0,0,0,0,0,0,money,,USA,1,,1,Construction Supervisor,0,4,1, Parent(s),0,,6,3,0,4,4,,
s008,0,47,White,,0,4,5,11,205,2,0,15,3,5,2,150000,1.0,6,0,8.0,3.0,6.0,2.0,,2,1,1,0,0,0,1,0,money,,USA,33,,1,Middle Management Health Care Support,0,2,3,Partner/Spouse,0,,9,2,0,4,5,,
s010,0,31,White,,1,3,5,11,278,2,0,11,5,6,1,34000,0.0,,1,2.0,2.0,3.0,2.0,,0,0,0,0,0,0,0,0,tasks are fun,,USA,43,,1,retail,0,2,3,Partner/Spouse,1,0,3,3,0,3,3,3,
s012,0,43,White,,0,4,6,0,175,2,0,20,1,3,2,94000,1.0,6,0,7.0,4.0,3.0,1.0,0,3,0,0,0,0,0,1,0,money,,USA,14,,1,Team Lead Supervisor,0,4,3,Partner/Spouse,1,0,7,2,0,4,5,3,
s013,0,62,White,,0,3,5,11,175,2,1,26,10,4,5,20000,0.0,1,0,1.0,1.0,1.0,1.0,0,8,0,0,0,0,0,2,1,money,,United States,4,,1,asst manager - retail,0,5,2,Partner/Spouse,1,0,0,5,0,3,4,1,1.0
s014,0,41,White,,0,4,5,11,180,1,0,4,6,5,0,30000,0.0,,1,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,1,0,money,,United States,39,,1,maintenance,0,2,0, I live alone,1,0,6,2,0,4,4,3,
s016,0,47,White,,0,4,6,4,197,2,0,19,4,5,4,125000,1.0,10,0,6.0,4.0,1.0,1.0,n/a,0,0,2,0,0,0,2,0,money,,USA,22,,1,IT Admin,0,5,1,Partner/Spouse,1,0,10,2,0,5,5,3,1.0
s017,0,50,White,,1,6,6,1,185,1,0,2,0,5,0,3000,0.0,,0,1.0,1.0,1.0,1.0,,1,1,1,0,0,0,0,0,money,,USA,9,,1,office clerk,0,3,0, I live alone,0,,7,7,0,4,5,,
s019,0,35,White,,0,4,6,0,180,2,0,7,0,6,0,54000,1.0,6,0,,1.0,1.0,1.0,No others,4,0,2,0,0,0,1,0,money,Covid-19 lockdown boredom,United States,38,,1,Programmer,0,2,1,Partner/Spouse,0,,4,2,0,5,5,,
s020,1,39,White,,0,4,5,10,145,1,0,10,6,5,1,65000,1.0,1,0,7.0,2.0,1.0,2.0,Medical Debt,0,0,1,0,0,0,1,0,money,n/a,United States,5,,1,Consultant Manager,0,1,2, Children,1,0,5,2,0,4,3,3,2.0
s021,1,62,White,,0,4,5,4,125,3,2,22,3,4,2,65000,1.0,5,0,2.0,1.0,1.0,1.0,,0,1,0,0,0,0,1,0,money,,USA,9,,1,marketing manager,0,2,1,Partner/Spouse,0,,7,2,0,4,5,,
s022,0,40,White,,0,4,5,11,240,1,0,0,6,1,0,55000,0.0,1,1,6.0,1.0,4.0,1.0,,1,0,0,0,0,0,0,0,money,,Unites States,47,,1,Accountant,0,2,2, Parent(s),1,0,6,2,0,3,4,3,1.0
s023,0,37,White,,0,4,6,1,155,1,0,3,4,5,0,31000,1.0,10,0,6.0,1.0,1.0,1.0,,4,0,0,0,0,0,2,0,money,,united states,9,,1,operations assistant,0,1,0, I live alone,0,,5,3,0,3,2,,
s024,0,26,Asian,,0,4,5,9,150,1,0,1,10,5,0,34000,0.0,,1,1.0,1.0,6.0,2.0,,1,0,0,0,0,0,4,0,money,,United States,22,,8,Sales,0,2,1, Unrelated person,0,0,5,2,0,5,5,3,
s025,1,46,Black or African American,,0,3,5,9,195,1,0,2,6,2,0,37500,0.0,1,1,1.0,1.0,1.0,4.0,,0,0,0,90,0,0,0,0,money,,United States,33,,1,Health Information Tech,0,2,1, Parent(s),0,0,7,2,0,3,3,,1.0
s026,1,47,White,NA,0,3,5,1,175,2,0,12,0,3,1,89000,1.0,1,0,,1.0,4.0,1.0,na,4,1,0,0,0,0,0,0,money,,USA,32,,1,Administrative Assistant,0,5,-1,Partner/Spouse,1,0,7,2,0,5,5,3,1.0
s027,0,33,White,,0,2,5,9,215,1,0,0,0,0,0,20000,0.0,,1,1.0,1.0,1.0,1.0,,0,0,2,0,0,0,1,0,money,,United States,18,,4,unemployed,0,3,1, Parent(s),0,,2,5,0,2,3,,
s029,1,31,White,,0,3,6,0,300,2,1,9,6,2,1,32000,1.0,2,1,1.0,1.0,4.0,1.0,None,1,0,1,0,0,0,0,0,money,,United States,12,,1,Debt Collector,0,1,2,Partner/Spouse,0,0,2,5,0,3,4,,1.0
s030,0,38,White,,0,2,5,9,170,3,0,15,0,3,0,20000,0.0,,1,1.0,1.0,1.0,1.0,,1,2,0,0,1,1,0,0,money,,USA,36,,3,unemployed,0,4,1,Partner/Spouse,0,,3,7,0,3,4,,
s033,0,28,White,,0,2,5,8,175,3,0,7,0,1,0,35000,0.0,,1,,,1.0,,None.,1,0,2,0,0,0,0,0,money,No.,USA,22,,1,Customer Service Rep,0,3,1,Partner/Spouse,1,0,7,2,0,5,5,3,
s034,1,46,White,,1,3,5,3,120,2,0,28,8,4,3,69000,0.0,1,0,6.0,1.0,2.0,1.0,none,2,0,0,200,0,0,0,0,money,,USA,23,,1,Administrative Assistant,0,4,4,Partner/Spouse,1,0,4,7,0,3,2,3,1.0
s035,1,42,White,,0,4,5,7,185,2,0,11,0,1,1,110000,1.0,8,0,7.0,1.0,4.0,3.0,none,0,2,0,0,0,0,4,0,money,,United States,16,,1,Systems Engineer,1,2,2,Partner/Spouse,1,0,8,2,0,4,4,3,1.0
s036,1,57,White,,0,3,5,5,216,2,2,20,6,5,2,180000,0.0,,0,8.0,1.0,1.0,1.0,Taxes ,4,2,0,0,0,0,0,0,money,,USA,5,,1,Care Provider,0,2,4,Partner/Spouse,1,0,7,2,0,3,4,3,5.0
s038,0,37,White,,0,2,5,6,124,1,0,5,6,2,0,25000,0.0,,1,1.0,1.0,1.0,1.0,,1,2,0,0,0,0,1,0,money,,USA,9,,4,N/A,0,2,1, Parent(s),0,,2,7,1,4,4,,
s040,0,48,White,,0,3,6,0,260,2,0,22,5,3,3,89000,1.0,3,0,6.0,2.0,6.0,3.0,,0,0,4,0,0,0,2,0,tasks are fun,,United States,38,,1,System Network Specialist ,0,3,5,Partner/Spouse,0,,7,2,0,5,4,,
s041,1,27,White,,0,4,5,9,220,1,0,5,2,2,0,70000,1.0,4,1,1.0,1.0,5.0,1.0,None,1,1,0,0,0,0,0,0,money,,United States,38,,1,Packaging Development Manager,0,2,1,Partner/Spouse,0,0,2,2,0,4,4,,1.0
s042,1,47,White,,0,3,5,5,319,1,1,6,0,5,1,30000,0.0,,1,,1.0,1.0,2.0,,1,4,0,0,0,0,2,1,money,,USA,46,,1,web services admin & online content editor,0,3,2, Children,0,,4,5,0,1,2,,1.0
s043,0,41,White,,0,3,5,7,125,2,1,12,2,6,1,25000,0.0,1,1,1.0,2.0,4.0,2.0,Medical bills,2,0,1,0,0,0,2,5,money,I enjoyed the last Hit from the requester.,United States,9,,1,Drywall hanger,0,3,3,Partner/Spouse,0,,6,7,0,5,5,,3.0
s044,0,59,White,,0,4,5,9,140,3,0,13,10,4,0,69000,1.0,6,0,2.0,1.0,1.0,1.0,,1,0,0,0,0,0,2,0,money,,USA,9,,1,production manager,0,2,1,Partner/Spouse,0,,7,2,0,5,5,,
s046,1,34,White,,0,3,5,6,135,1,0,3,7,4,0,34000,0.0,,1,1.0,1.0,1.0,1.0,,0,0,0,0,0,0,0,0,money,,United States,9,,1,Self Employed,0,2,1, Parent(s),0,,7,7,0,3,3,,
s047,0,36,White,,0,2,5,11,240,3,0,0,6,4,0,20000,0.0,1,1,1.0,1.0,1.0,1.0,n/a,1,1,0,0,0,0,0,0,money,,USA,38,,2,General Merchandise at Target,0,1,3, Unrelated person,1,0,7,4,0,4,3,3,1.0
s049,1,40,White,,0,3,5,2,150,2,0,14,3,6,2,45000,0.0,,0,6.0,3.0,1.0,1.0,Medical bills,1,0,1,175,0,0,0,0,money,,United States,13,,1,Retail Sales,0,3,3,Partner/Spouse,1,0,7,2,0,4,2,1,3.0
s050,1,36,White,,0,4,5,9,240,2,0,17,11,2,1,76000,1.0,8,1,,2.0,3.0,1.0,NA,0,0,0,0,0,0,1,0,money,,United States,17,,6,stay at home parent,0,1,2,Partner/Spouse,0,,7,2,0,3,3,,
s051,1,36,Asian,,0,3,5,2,110,3,0,7,5,5,2,65000,1.0,1,1,1.0,1.0,2.0,1.0,,1,1,0,0,0,0,1,0,money,,USA,17,,1,web developer,0,2,3,Partner/Spouse,1,0,8,2,0,3,3,3,
s052,0,32,White,,0,3,5,7,320,3,0,6,7,2,0,33000,0.0,,1,,1.0,4.0,3.0,,0,2,5,0,0,0,1,0,money,,USA,22,,1,Sales,0,3,1,Partner/Spouse,0,,5,2,0,3,3,,
s053,1,53,White,,0,2,5,1,175,2,1,27,7,2,3,30000,0.0,,0,5.0,4.0,,1.0,,0,3,3,0,0,0,0,0,tasks are fun,,United States,25,,6,mom,0,4,1,Partner/Spouse,1,0,9,2,0,3,4,3,
s054,1,37,Black or African American,,0,4,5,10,250,1,0,0,3,5,0,55000,0.0,1,1,1.0,6.0,6.0,2.0,none,2,3,0,0,0,0,1,0,tasks are fun,,USA,9,,1,GUARD/FILM EDITOR,0,1,2, Siblings,1,0,3,3,0,2,2,3,1.0
s055,0,43,White,,0,4,6,4,235,2,0,16,9,2,2,90000,1.0,8,0,6.0,3.0,3.0,4.0,car,1,1,1,0,0,0,1,0,money,,USA,35,,1,Planner,0,5,3,Partner/Spouse,0,0,11,2,0,3,3,3,5.0
s056,1,42,White,,0,3,5,8,280,2,0,24,8,6,2,40000,0.0,,1,,1.0,1.0,1.0,,5,0,2,0,0,0,1,0,money,,usa,18,,1,delivery driver,0,2,4,Partner/Spouse,1,0,2,7,0,2,4,3,
s057,0,54,White,,0,3,5,10,235,1,0,3,0,4,0,20000,0.0,1,3,1.0,1.0,1.0,1.0,none,0,0,5,0,2,0,5,5,money,,USA,21,,7,disabled,0,1,0, I live alone,0,,3,4,1,1,3,,
s059,0,48,White,,0,4,6,3,175,3,1,14,5,6,0,60000,0.0,,1,1.0,1.0,1.0,1.0,,2,10,0,0,0,0,0,0,money,,usa,5,,1,luthier,0,1,0, I live alone,0,,3,3,0,5,5,,1.0
s063,1,35,White,,0,3,5,7,125,2,0,11,10,3,0,140000,1.0,10,0,7.0,1.0,1.0,1.0,N/A,2,0,1,0,0,0,0,0,money,,United States,46,,1,Administrative Assistant,0,2,1,Partner/Spouse,0,,8,2,0,4,4,,
s065,1,48,Asian,,0,3,5,1,146,2,1,15,5,5,2,55000,0.0,1,0,6.0,1.0,1.0,1.0,,1,0,0,0,0,0,3,0,money,,United States,22,,1,administration,0,5,3,Partner/Spouse,1,1,12,2,0,2,3,3,1.0
s066,0,48,Black or African American,,0,4,5,7,165,2,0,12,8,5,2,90000,1.0,2,0,6.0,3.0,1.0,2.0,n/a,1,0,2,350,0,0,3,0,tasks are fun,n/a,United States of America,13,n/a,1,Manufacturing,0,1,3,Partner/Spouse,0,0,18,2,0,4,5,3,1.0
s067,1,40,White,,0,2,5,9,165,1,0,0,0,0,0,29000,1.0,9,2,1.0,1.0,1.0,1.0,n/a,4,0,0,0,0,0,0,0,money,,United States,33,,1,self employed,0,5,2, Parent(s),0,,8,3,0,5,4,,1.0
s068,0,45,White,,0,5,5,7,265,1,0,1,3,5,0,45000,1.0,10,1,1.0,1.0,4.0,1.0,None,3,0,0,0,0,0,3,0,money,,United States,43,,1,Supervisor for Ad Agency,0,2,0, I live alone,0,,3,3,0,4,5,,1.0
s070,0,32,White,,0,2,5,10,180,2,0,10,6,2,1,39000,0.0,,0,1.0,3.0,1.0,2.0,n/a,1,1,0,0,0,0,1,0,money,n/a,usa,43,,1,sales,0,4,2,Partner/Spouse,0,0,2,3,0,5,4,,1.0
s071,0,48,White,,0,4,6,0,175,1,0,1,0,5,0,40000,0.0,1,1,1.0,1.0,5.0,2.0,,0,0,0,0,0,0,2,0,money,,USA,32,,1,Engineer,0,2,0, I live alone,0,,7,5,0,4,5,,1.0
s072,1,39,Black or African American,,0,3,5,9,267,1,0,3,4,5,1,25000,0.0,1,5,1.0,1.0,4.0,7.0,,1,1,1,0,0,0,0,0,money,,United States,33,,1,Medical Office Assistant,0,3,1, Children,0,,8,2,0,3,3,,
s074,0,35,White,,0,4,6,1,130,1,0,2,6,6,0,60000,0.0,,1,1.0,4.0,1.0,1.0,0,2,0,0,50,0,0,0,0,tasks are fun,,United States ,13,,1,Mail Carrier ,0,2,0, I live alone,1,0,2,2,0,4,3,3,1.0
s075,1,58,White,,0,4,5,11,157,2,0,14,9,5,0,135000,1.0,8,0,8.0,1.0,1.0,2.0,,0,1,0,0,0,0,0,0,money,N/A,USA,32,,1,Service Coordinator,0,1,1,Partner/Spouse,0,,8,2,0,5,5,,
s076,1,35,White,,0,5,4,11,115,3,0,9,5,2,0,36000,1.0,1,0,5.0,1.0,7.0,1.0,,2,0,1,0,0,0,2,0,money,,United States,38,,1,Behavior Specialist,0,1,2,Partner/Spouse,1,0,8,7,0,3,3,3,1.0
s078,0,30,White,,0,5,5,8,137,2,0,13,11,6,0,50000,0.0,,1,1.0,1.0,4.0,1.0,,3,0,0,0,0,0,0,0,money,,United States,16,,1,Marriage and Family Therapist,0,3,1,Partner/Spouse,0,,4,5,0,1,2,,
s079,0,51,White,,1,4,5,10,175,1,0,3,8,5,0,60000,1.0,2,0,8.0,1.0,1.0,1.0,,0,2,0,0,1,0,3,1,money,,United States of America,5,,1,Production Manager,0,3,1, Parent(s),0,,9,2,0,3,3,,
s080,0,44,White,,0,4,5,7,210,2,1,2,3,4,3,85000,1.0,4,0,3.0,4.0,1.0,2.0,n/a,2,0,2,50,0,0,5,0,want to contribute to research,something to do,united states,49,,2,account sales manager,0,3,4,Partner/Spouse,1,0,8,3,0,4,5,3,
s081,0,27,White,,0,4,6,0,180,1,0,3,6,2,0,45000,1.0,5,0,5.0,1.0,1.0,1.0,,0,0,0,0,0,0,0,0,money,,United States,22,,1,Business Analyst,0,1,0, I live alone,0,0,3,2,0,5,5,,
s082,2,25,White,,0,3,5,0,95,1,0,4,4,3,0,9000,0.0,,1,1.0,1.0,1.0,2.0,,0,0,1,0,0,0,4,0,money,,USA,33,,1,transcriptionist,0,4,1, Unrelated person,1,0,6,2,0,1,2,3,
s084,1,45,White,,0,4,5,5,180,2,0,25,11,3,4,142000,0.0,1,1,1.0,3.0,7.0,4.0,na,2,1,1,300,0,0,3,0,money,,USA,12,,6,homemaker/student,0,3,4,Partner/Spouse,1,0,9,2,0,5,3,1,1.0
s085,0,36,Asian,,0,3,5,8,175,1,0,0,6,1,0,50000,0.0,,1,1.0,1.0,1.0,1.0,,1,1,0,60,0,0,0,0,money,,usa,5,,1,independent contractor,0,1,4, Parent(s),0,0,3,7,1,2,2,,
s086,1,33,White,,0,5,5,6,190,1,0,2,0,3,0,24000,0.0,,2,1.0,1.0,7.0,1.0,,3,0,1,0,0,0,2,0,money,,US,40,,1,Admin Assistant,0,3,3, Parent(s),0,,9,3,0,1,2,,
s087,0,36,White,,0,4,5,4,144,1,0,2,0,6,0,52000,1.0,3,1,1.0,1.0,1.0,2.0,,1,0,3,0,0,0,3,0,money,,USA,5,,2,Producer,0,3,0, I live alone,0,,7,2,0,4,5,,
s088,1,47,White,,0,4,5,4,160,1,0,3,2,5,0,20000,1.0,7,0,1.0,1.0,7.0,1.0,,1,1,0,0,0,0,1,1,money,,United States,5,  ,1,Data Analyst,0,2,00, I live alone,0,,8,5,0,3,3,,
s089,0,31,White,,0,2,6,3,190,1,0,3,5,3,0,43000,0.0,1,0,1.0,1.0,1.0,1.0,,0,0,1,50,0,0,0,0,money,,USA,43,,1,Management,0,5,0, I live alone,0,0,2,2,0,5,5,,
s090,1,47,White,,0,4,5,7,180,1,0,8,6,5,0,38000,0.0,,0,5.0,1.0,1.0,2.0,,0,1,0,0,0,0,0,0,money,,United States,5,,1,writer,0,4,2, Parent(s),1,0,8,7,0,4,5,3,
s091,1,31,White,,0,4,5,4,135,1,0,4,0,5,2,32800,0.0,,0,7.0,1.0,1.0,1.0,none,1,0,0,85,0,0,4,0,money,,USA,9,,1,IT Consultant,0,2,3, Children,0,,11,5,0,5,5,,
s092,0,53,White,,0,6,6,4,196,1,1,15,2,6,2,90000,1.0,7,0,6.0,1.0,1.0,3.0,,1,0,0,0,1,0,2,0,money,,United States,22,,5,Attorney,0,2,0, I live alone,0,,10,2,0,5,5,,
s093,1,51,White,,0,4,5,4,175,1,0,7,6,5,2,77000,1.0,9,0,8.0,1.0,4.0,3.0,,3,5,0,250,0,0,2,0,money,,USA,5,,1,Property Manager,0,1,1, Children,0,,6,3,0,4,5,,
s094,1,43,White,,0,5,5,10,172,1,2,6,0,5,0,60000,0.0,,2,1.0,1.0,7.0,3.0,,0,0,0,0,0,0,3,0,money,,United States,14,,1,Seamstress,0,2,2, Parent(s),0,,7,7,0,3,3,,
s095,1,39,Black or African American,,0,4,6,2,360,1,0,3,6,5,0,60000,0.0,,2,,,,,,1,1,0,0,0,0,0,0,want to contribute to research,,United States,32,,3,na,0,2,2, Parent(s),0,,12,3,0,3,2,,
s096,1,47,White,,0,3,5,3,130,2,0,29,4,5,2,35000,0.0,,0,1.0,1.0,6.0,2.0,,0,2,3,300,0,0,0,1,money,,United States,27,,1,head of housekeeping,0,4,4,Partner/Spouse,1,0,4,5,0,4,4,3,1.0
s097,1,63,White,,0,2,5,7,135,2,0,38,4,3,2,95000,0.0,1,1,1.0,3.0,1.0,2.0,,1,2,0,0,0,0,0,0,other,,USA,47,,1,Real Estate Agent,0,2,1,Partner/Spouse,0,,3,2,0,4,3,,1.0
s098,0,39,White,,0,6,5,7,97,2,0,19,10,4,0,225000,1.0,1,1,1.0,3.0,1.0,1.0,none,1,1,0,0,0,0,0,0,money,,usa,5,,6,not working,0,1,1,Partner/Spouse,0,,5,2,0,1,3,,
s099,0,30,White,,0,4,6,0,240,3,0,4,0,4,0,8000,0.0,,1,1.0,1.0,4.0,3.0,,0,2,0,0,0,0,0,0,money,,usa,3,,4,None,0,1,4,Partner/Spouse,0,,5,7,1,3,2,,
s100,1,47,White,,0,2,5,6,175,2,0,27,5,1,2,69000,0.0,1,0,7.0,1.0,1.0,3.0,N/A,2,1,1,0,0,0,0,0,money,,USA,5,,6,MTURK,0,3,2,Partner/Spouse,0,0,6,2,0,4,4,3,
s101,0,40,White,,0,5,6,5,245,2,0,7,4,2,3,80000,1.0,8,0,7.0,1.0,1.0,1.0,,2,0,0,0,0,0,0,0,money,,United States of America,27,,1,business analyst,0,5,4,Partner/Spouse,0,,9,2,0,4,5,,1.0
s102,0,37,White,,0,5,5,10,160,2,0,12,0,4,2,145000,1.0,10,0,7.0,1.0,1.0,1.0,none,0,0,0,0,0,0,1,0,money,,USA,38,,1,Business analyst,0,2,3,Partner/Spouse,0,0,9,2,0,5,5,,1.0
s103,1,36,White,,0,2,5,5,140,3,0,4,6,5,2,80000,0.0,,1,1.0,1.0,7.0,2.0,medical bills,0,0,3,300,0,0,1,1,money,,united states,49,,6,N/A,0,3,4,Partner/Spouse,1,0,9,5,0,4,5,3,2.0
s104,0,41,Black or African American,,1,4,5,11,300,3,0,7,0,6,2,74999,0.0,,0,3.0,2.0,2.0,1.0,NA,0,4,0,0,0,0,3,0,money,,USA,22,,1,IT liaison,0,2,4,Partner/Spouse,0,,12,5,0,2,3,,1.0
s107,1,38,White,,0,3,5,2,225,1,0,8,0,6,1,6000,0.0,,2,,,,,none,0,1,0,0,0,0,2,4,money,,USA,43,,1,independent consultant,0,1,3,Partner/Spouse,0,,4,5,1,2,2,,
s108,0,44,White,,0,3,5,3,150,2,0,17,6,6,1,10000,0.0,1,2,1.0,1.0,3.0,1.0,,5,0,1,0,0,0,4,6,money,"You're my highest paying requester, in all the years I've worked online.",USA,43,,6,MTurk worker.,0,3,3,Partner/Spouse,0,,5,5,0,2,3,,1.0
s109,1,36,White,,0,4,5,8,185,1,0,2,0,1,0,40000,1.0,10,1,1.0,1.0,1.0,1.0,,0,3,0,0,0,0,3,0,money,,USA,21,,1,"File maintenance, grocery store",0,1,1, Unrelated person,1,0,4,2,0,4,4,3,
s111,1,31,White,,0,3,5,4,280,2,0,15,7,1,0,72000,1.0,1,1,1.0,1.0,4.0,1.0,,0,0,0,75,0,0,2,0,money,,USA,38,,8,Student,0,1,1,Partner/Spouse,0,,4,2,0,2,4,,
s113,1,26,White,,1,3,5,4,280,1,0,0,0,0,0,60000,0.0,,1,1.0,1.0,3.0,3.0,,0,0,4,200,0,0,0,0,money,,United States,9,,1,Freelance,0,1,1, Parent(s),0,0,3,2,0,2,1,,
s114,1,40,White,,0,4,5,3,170,3,1,10,0,5,0,21000,0.0,,0,5.0,1.0,1.0,3.0,back taxes,0,1,0,0,0,0,1,1,money,,United States,38,,1,transcriptionist,0,1,0, I live alone,0,,8,5,1,4,4,,2.0
s115,1,48,White,,0,2,5,8,140,1,0,5,4,5,2,20000,0.0,1,1,1.0,1.0,1.0,1.0,,0,1,0,50,0,0,0,0,money,,USA,38,,1,Waitress,0,2,0, I live alone,0,,3,7,0,3,3,,1.0
s116,0,29,White,,0,4,6,0,170,1,0,0,3,1,0,85000,0.0,,2,1.0,1.0,5.0,1.0,,0,0,0,0,0,0,2,1,money,,united states,3,,4,none,0,4,4, Parent(s),1,0,12,7,0,5,4,3,
s117,0,51,White,,0,4,5,9,162,2,0,29,8,4,2,190000,1.0,9,2,8.0,1.0,1.0,5.0,n/a,0,1,0,0,0,0,2,1,money,,usa,10,,1,software engineer,0,2,3,Partner/Spouse,0,,11,2,0,4,4,,1.0
s118,0,49,White,,0,4,6,0,185,1,2,8,0,5,0,75000,0.0,,2,1.0,1.0,3.0,1.0,,0,0,0,0,0,0,2,1,money,,USA,14,,1,Freelance journalist,0,2,2, Unrelated person,0,,10,7,0,3,4,,
s119,1,47,White,,0,4,5,6,155,2,0,27,9,2,4,115000,1.0,4,0,6.0,3.0,1.0,1.0,,0,0,5,0,0,0,2,0,other,all of the above,United States,25,,6,n/a,0,2,6,Partner/Spouse,0,,10,2,0,3,4,,
s120,0,35,Other (please specify),Latino,1,4,5,11,176,2,0,8,4,5,2,178000,1.0,3,0,8.0,1.0,1.0,2.0,,1,0,0,0,0,0,1,0,money,,USA,5,,1,IT Manager,0,2,3,Partner/Spouse,0,0,12,2,0,4,4,,1.0
s121,0,49,White,,0,3,5,10,169,1,1,17,6,4,3,37500,0.0,,1,1.0,1.0,1.0,1.0,,1,0,4,0,0,0,4,2,money,,USA,9,,1,Retail Cashier,0,3,2, Unrelated person,1,0,7,2,0,4,5,3,
s123,0,38,White,,0,4,5,11,205,1,0,2,0,3,0,81000,1.0,1,0,,1.0,1.0,3.0,,0,1,0,0,0,0,0,0,money,,United States,47,,1,Real Estate Agent,0,5,1, Unrelated person,0,,6,3,0,4,4,,
s124,1,41,White,,0,3,5,2,179,3,0,7,2,4,3,39000,0.0,1,1,1.0,4.0,3.0,1.0,none,2,0,0,0,0,0,0,0,money,,USA,33,,5,clerical,0,1,4,Partner/Spouse,1,0,6,5,0,3,3,3,1.0
s125,1,52,White,,0,4,5,5,151,3,1,17,10,6,2,58900,1.0,5,0,4.0,4.0,4.0,1.0,medical expenses,6,0,0,0,0,1,0,0,money,I like to keep my brain active,USA,9,,1,Human Resource Manager,0,2,1, Children,0,,9,6,0,5,5,,1.0
s126,1,47,American Indian or Alaska Native,,0,4,5,9,120,2,1,15,6,3,4,124000,1.0,10,0,8.0,4.0,5.0,3.0,,2,0,4,0,0,0,5,0,tasks are fun,,USA,43,,1,investigator,0,3,5,Partner/Spouse,1,0,15,1,0,3,4,3,1.0
s127,0,38,White,,0,2,5,10,210,1,0,2,6,4,0,39500,1.0,10,1,1.0,1.0,1.0,3.0,N/A,0,0,0,300,0,0,4,5,money,,United States of America,25,,1,Hospitality,0,2,0, I live alone,0,,6,2,0,4,4,,
s128,0,30,American Indian or Alaska Native,,0,3,8,3,158,3,0,3,2,4,1,74000,1.0,3,0,3.0,1.0,1.0,1.0,MEDICAL,3,0,0,0,0,0,2,0,money,none,usa,33,,1,customer service,0,3,1, Children,1,0,5,2,1,4,3,3,2.0
s129,1,43,White,,1,3,5,2,148,2,0,6,6,3,1,42000,0.0,,1,1.0,1.0,1.0,3.0,,1,0,1,0,0,0,0,0,money,,United States,5,,1,Nanny,0,1,2,Partner/Spouse,1,0,2,4,0,3,4,3,
s130,1,32,White,,0,3,5,2,200,3,0,7,0,5,0,24000,1.0,1,1,1.0,2.0,1.0,1.0,,1,0,6,396,0,0,1,2,money,,United States of America,38,,4,unemployed,0,1,1,Partner/Spouse,1,0,6,5,1,2,1,3,
s131,1,39,White,,0,4,5,7,143,3,1,10,2,6,0,50000,0.0,,0,1.0,1.0,5.0,2.0,Medical,0,0,5,0,0,0,1,1,money,curiosity ,United States,22,,1,Policy Strategist,0,3,3,Partner/Spouse,1,0,8,5,0,2,3,3,2.0
s134,0,52,White,,0,3,6,4,195,3,0,16,3,4,0,52000,1.0,9,1,1.0,1.0,1.0,3.0,None,0,0,0,0,0,0,2,0,money,,United States,5,,1,Transaction Coordinator,0,2,2,Partner/Spouse,0,,4,3,0,3,5,,
s136,0,28,Black or African American,,0,2,6,5,250,1,0,0,0,0,0,25000,0.0,1,1,1.0,1.0,1.0,3.0,Hospital bill,0,0,0,0,1,0,0,0,money,,United States,9,,7,Disabled,0,3,3, Parent(s),0,0,2,5,0,2,2,3,1.0
